,symbol,percent_diff,min,max,avg,relative_diff
0,NIFTY 50,17.3,-0.25,26.29,12.685395348837208,-4.614604651162793
1,NIFTY MIDCAP 100,30.63,-0.72,36.66,19.927488372093023,-10.702511627906976
2,NIFTY BANK,11.85,-2.49,38.09,13.440697674418605,1.590697674418605
3,NIFTY 100,19.85,-0.29,26.35,12.760558139534881,-7.08944186046512
4,NIFTY DIV OPPS 50,28.53,0.0,30.39,15.122139534883722,-13.40786046511628
5,NIFTY COMMODITIES,25.54,-0.42,37.87,17.91506976744186,-7.624930232558139
6,NIFTY CONSUMPTION,24.73,-0.12,25.13,12.189488372093022,-12.540511627906978
7,NIFTY FIN SERVICE,13.07,-2.84,33.37,11.623813953488371,-1.4461860465116292
8,NIFTY IT,16.92,-5.93,44.87,14.572000000000003,-2.347999999999999
9,NIFTY MIDCAP 50,30.85,-1.04,37.98,20.0373488372093,-10.8126511627907
10,NIFTY REALTY,38.94,-4.8,58.33,24.749674418604652,-14.190325581395346
11,NIFTY INFRA,28.8,-0.47,33.57,16.113767441860464,-12.686232558139537
12,NIFTY ENERGY,29.54,-5.45,39.0,15.640325581395349,-13.89967441860465
13,NIFTY FMCG,17.69,-2.74,20.88,10.093209302325581,-7.59679069767442
14,NIFTY MNC,25.71,-0.13,28.75,11.265302325581395,-14.444697674418606
15,NIFTY PHARMA,28.35,-7.03,28.35,9.885116279069768,-18.46488372093023
16,NIFTY PSE,47.28,-8.61,57.86,20.99893023255814,-26.28106976744186
17,NIFTY PSU BANK,26.79,-11.5,52.21,24.880093023255814,-1.9099069767441854
18,NIFTY SERV SECTOR,15.61,-1.5,31.11,11.897627906976746,-3.7123720930232533
19,NIFTY AUTO,36.01,-0.57,41.03,18.420418604651164,-17.589581395348834
20,NIFTY METAL,21.72,-1.38,68.46,24.899581395348836,3.179581395348837
21,NIFTY MEDIA,2.45,-11.76,34.78,7.563255813953488,5.113255813953487
22,NIFTY 200,21.47,-0.34,27.6,13.698558139534882,-7.771441860465117
23,NIFTY200 QUALTY30,23.5,-0.84,25.4,11.797999999999998,-11.702000000000002
24,NIFTY ALPHA 50,37.07,-7.96,44.25,20.73227906976744,-16.33772093023256
25,NIFTY MIDCAP 150,30.03,-0.66,35.31,19.52995348837209,-10.500046511627911
26,NIFTY MIDSML 400,30.33,-0.54,36.87,20.237069767441863,-10.092930232558135
27,NIFTY SMLCAP 50,32.26,-9.86,46.63,20.029581395348835,-12.230418604651163
28,NIFTY SMLCAP 100,31.14,-5.67,43.88,20.350093023255816,-10.789906976744184
29,NIFTY SMLCAP 250,30.83,-0.27,44.59,21.76446511627907,-9.065534883720929
30,NIFTY50 VALUE 20,22.38,0.0,29.16,14.810744186046511,-7.569255813953488
31,NIFTY100 LIQ 15,18.92,-0.68,29.54,14.335953488372095,-4.584046511627907
32,NIFTY 500,22.54,-0.34,28.48,14.421720930232558,-8.118279069767441
33,NIFTY CPSE,50.92,-7.8,56.66,22.809860465116273,-28.11013953488373
34,NIFTY GROWSECT 15,17.57,0.0,17.66,9.434123711340208,-8.135876288659793
35,NIFTY MID LIQ 15,31.34,-1.07,39.33,19.7786511627907,-11.561348837209302
36,NIFTY NEXT 50,33.24,-4.64,36.94,13.796558139534884,-19.443441860465118
37,NIFTY PVT BANK,10.06,-2.93,34.57,11.821906976744184,1.761906976744184
38,NIFTY50 EQL WGT,22.35,0.0,23.45,12.857371134020617,-9.492628865979384
39,NIFTY100 EQL WGT,27.2,-1.15,28.84,14.698604651162789,-12.50139534883721
40,NIFTY100 LOWVOL30,21.18,0.0,24.16,12.472604651162793,-8.707395348837206
41,NIFTY100 QUALTY30,22.55,-0.86,24.3,12.074930232558138,-10.475069767441862
42,NIFTY ALPHALOWVOL,28.1,-1.95,29.7,14.009018691588784,-14.090981308411218
43,NIFTY MID SELECT,28.31,-1.09,39.78,18.060511627906976,-10.249488372093023
44,NIFTY FINSRV25 50,18.29,-3.36,32.31,12.815633802816903,-5.474366197183096
45,NIFTY HEALTHCARE,27.95,-5.34,27.95,11.462535211267607,-16.487464788732392
46,NIFTY CONSR DURBL,24.2,-2.86,39.49,15.717767441860467,-8.482232558139533
47,NIFTY OIL AND GAS,30.64,-3.1,42.06,15.678797814207652,-14.961202185792349
48,NIFTY500 MULTICAP,25.35,-0.38,32.14,16.981690140845068,-8.368309859154934
49,NIFTY LARGEMID250,25.07,0.0,29.1,15.359178743961355,-9.710821256038646
50,NIFTY100ESGSECLDR,22.71,-0.44,24.81,13.016444444444444,-9.693555555555557
51,NIFTY200MOMENTM30,31.97,-4.26,36.46,17.341220657276995,-14.628779342723004
52,NIFTY TOTAL MKT,23.06,-0.35,28.85,14.860657276995306,-8.199342723004692
53,NIFTY MICROCAP250,38.09,-0.86,61.72,28.363849765258216,-9.726150234741787
54,NIFTY M150 QLTY50,29.84,-2.42,32.12,14.37204419889503,-15.46795580110497
55,NIFTY INDIA MFG,32.5,-0.14,36.18,17.544084507042253,-14.955915492957747
56,NIFTY IND DIGITAL,25.73,-7.62,41.81,14.354553990610329,-11.375446009389671
57,NIFTY100 ESG,20.14,-2.38,28.72,12.73644859813084,-7.40355140186916
58,NIFTY200 ALPHA 30,38.8,-7.25,42.46,19.33813953488372,-19.461860465116278
59,NIFTYM150MOMNTM50,33.8,-0.03,44.66,22.71460465116279,-11.085395348837206
60,NIFTY TATA 25 CAP,28.83,-0.54,47.53,21.7234,-7.106599999999997
61,NIFTY MULTI MFG,30.89,-0.1,34.58,18.988418604651162,-11.901581395348838
62,NIFTY MULTI INFRA,30.61,-0.45,33.7,19.085116279069773,-11.524883720930227
63,NIFTY MIDSML HLTH,30.1,-9.21,31.08,12.446651162790696,-17.653348837209307
