,symbol,percent_diff,min,max,avg,relative_diff,date
0,NIFTY 50,9.13,-32.04,28.76,9.93,0.7999999999999989,2024-11-24
1,NIFTY MIDCAP 100,15.4,-32.41,43.03,17.59,2.1899999999999995,2024-11-24
2,NIFTY BANK,8.21,-44.51,29.48,6.43,-1.7800000000000011,2024-11-24
3,NIFTY 100,9.63,-31.33,29.09,10.24,0.6099999999999994,2024-11-24
4,NIFTY DIV OPPS 50,14.92,-24.74,34.13,13.38,-1.5399999999999991,2024-11-24
5,NIFTY COMMODITIES,5.03,-33.7,39.78,14.31,9.280000000000001,2024-11-24
6,NIFTY CONSUMPTION,12.55,-20.23,33.75,11.99,-0.5600000000000005,2024-11-24
7,NIFTY FIN SERVICE,10.47,-39.7,28.86,6.42,-4.050000000000001,2024-11-24
8,NIFTY IT,20.62,-24.97,53.31,14.03,-6.590000000000002,2024-11-24
9,NIFTY MIDCAP 50,14.64,-33.83,42.0,17.96,3.3200000000000003,2024-11-24
10,NIFTY REALTY,20.54,-40.6,65.54,17.64,-2.8999999999999986,2024-11-24
11,NIFTY INFRA,11.06,-28.37,37.14,14.64,3.58,2024-11-24
12,NIFTY ENERGY,3.21,-31.24,45.21,13.6,10.39,2024-11-24
13,NIFTY FMCG,4.09,-13.98,23.07,10.19,6.1,2024-11-24
14,NIFTY MNC,7.73,-21.45,33.07,10.92,3.1899999999999995,2024-11-24
15,NIFTY PHARMA,18.91,-15.0,36.46,14.14,-4.77,2024-11-24
16,NIFTY PSE,15.49,-32.2,67.58,16.67,1.1800000000000015,2024-11-24
17,NIFTY PSU BANK,9.78,-51.31,61.61,14.22,4.440000000000001,2024-11-24
18,NIFTY SERV SECTOR,11.97,-35.92,29.3,8.07,-3.9000000000000004,2024-11-24
19,NIFTY AUTO,14.96,-42.68,48.74,15.61,0.6499999999999986,2024-11-24
20,NIFTY METAL,8.72,-42.3,77.73,18.41,9.69,2024-11-24
21,NIFTY MEDIA,-6.87,-43.55,38.42,1.91,8.78,2024-11-24
22,NIFTY 200,10.52,-31.44,30.79,11.2,0.6799999999999997,2024-11-24
23,NIFTY200 QUALTY30,11.05,-21.23,30.02,11.13,0.08000000000000007,2024-11-24
24,NIFTY ALPHA 50,14.96,-23.68,53.54,21.85,6.890000000000001,2024-11-24
25,NIFTY MIDCAP 150,15.1,-29.85,41.41,17.7,2.5999999999999996,2024-11-24
26,NIFTY MIDSML 400,15.38,-31.05,42.54,18.12,2.74,2024-11-24
27,NIFTY SMLCAP 50,18.52,-39.15,52.06,16.32,-2.1999999999999993,2024-11-24
28,NIFTY SMLCAP 100,14.93,-38.32,47.72,16.83,1.8999999999999986,2024-11-24
