,symbol,percent_diff,min,max,avg,relative_diff
0,NIFTY 50,17.13,-0.21,26.23,12.51,-4.619999999999999
1,NIFTY MIDCAP 100,30.05,-0.67,37.39,19.9,-10.150000000000002
2,NIFTY BANK,11.77,-3.8,37.24,13.18,1.4100000000000001
3,NIFTY 100,19.61,-0.24,26.44,12.62,-6.99
4,NIFTY DIV OPPS 50,28.05,0.0,30.88,15.19,-12.860000000000001
5,NIFTY COMMODITIES,25.07,-0.58,37.36,17.81,-7.260000000000002
6,NIFTY CONSUMPTION,24.52,-0.06,25.11,12.17,-12.35
7,NIFTY FIN SERVICE,13.05,-4.3,32.1,11.34,-1.7100000000000009
8,NIFTY IT,16.36,-6.31,45.2,14.59,-1.7699999999999996
9,NIFTY MIDCAP 50,30.31,-0.98,38.32,19.98,-10.329999999999998
10,NIFTY REALTY,37.59,-5.04,58.74,24.73,-12.860000000000003
11,NIFTY INFRA,28.35,-0.67,33.75,16.02,-12.330000000000002
12,NIFTY ENERGY,29.33,-5.63,39.16,15.6,-13.729999999999999
13,NIFTY FMCG,17.73,-2.62,21.19,10.15,-7.58
14,NIFTY MNC,25.31,0.0,28.56,11.31,-13.999999999999998
15,NIFTY PHARMA,28.48,-6.83,28.48,9.82,-18.66
16,NIFTY PSE,46.44,-8.92,59.3,21.13,-25.31
17,NIFTY PSU BANK,25.94,-12.73,53.15,24.71,-1.2300000000000004
18,NIFTY SERV SECTOR,15.45,-1.5,30.2,11.69,-3.76
19,NIFTY AUTO,35.7,-0.31,40.87,18.4,-17.300000000000004
20,NIFTY METAL,20.99,-1.26,67.07,24.55,3.5600000000000023
21,NIFTY MEDIA,1.92,-11.61,34.04,7.51,5.59
22,NIFTY 200,21.18,-0.28,27.78,13.58,-7.6
23,NIFTY200 QUALTY30,23.05,-0.96,25.82,11.83,-11.22
24,NIFTY ALPHA 50,36.15,-8.23,44.99,20.71,-15.439999999999998
25,NIFTY MIDCAP 150,29.49,-0.59,36.08,19.54,-9.95
26,NIFTY MIDSML 400,29.76,-0.58,37.47,20.21,-9.55
27,NIFTY SMLCAP 50,31.61,-10.15,47.1,19.9,-11.71
28,NIFTY SMLCAP 100,30.44,-6.03,44.16,20.2,-10.240000000000002
29,NIFTY SMLCAP 250,30.21,-0.55,45.03,21.66,-8.55
30,NIFTY50 VALUE 20,21.98,0.0,29.48,14.83,-7.15
31,NIFTY100 LIQ 15,18.75,-1.87,29.23,14.05,-4.699999999999999
32,NIFTY 500,22.21,-0.3,28.73,14.31,-7.9
33,NIFTY CPSE,50.36,-7.78,57.21,22.98,-27.38
34,NIFTY GROWSECT 15,17.36,0.0,17.75,9.43,-7.93
35,NIFTY MID LIQ 15,30.79,-0.96,38.83,19.78,-11.009999999999998
36,NIFTY NEXT 50,32.57,-4.78,36.81,13.87,-18.700000000000003
37,NIFTY PVT BANK,10.02,-3.72,33.86,11.6,1.58
38,NIFTY50 EQL WGT,22.08,0.0,23.65,12.67,-9.409999999999998
39,NIFTY100 EQL WGT,26.81,-1.26,29.16,14.68,-12.129999999999999
40,NIFTY100 LOWVOL30,21.02,0.0,24.18,12.44,-8.58
41,NIFTY100 QUALTY30,22.18,-0.78,24.63,12.06,-10.12
42,NIFTY ALPHALOWVOL,27.93,-2.04,29.94,13.99,-13.94
43,NIFTY MID SELECT,27.83,-0.9,39.93,18.03,-9.799999999999997
44,NIFTY FINSRV25 50,18.13,-3.92,31.44,12.61,-5.52
45,NIFTY HEALTHCARE,28.06,-5.15,28.06,11.38,-16.68
46,NIFTY CONSR DURBL,23.69,-2.93,40.78,15.66,-8.030000000000001
47,NIFTY OIL AND GAS,30.37,-3.14,42.41,15.79,-14.580000000000002
48,NIFTY500 MULTICAP,24.94,-0.4,32.61,16.89,-8.05
49,NIFTY LARGEMID250,24.69,0.0,30.01,15.57,-9.120000000000001
50,NIFTY100ESGSECLDR,22.45,-0.6,25.04,12.85,-9.6
51,NIFTY200MOMENTM30,31.39,-4.27,36.59,17.3,-14.09
52,NIFTY TOTAL MKT,22.73,-0.31,29.12,14.75,-7.98
53,NIFTY MICROCAP250,37.52,-1.15,61.64,28.32,-9.200000000000003
54,NIFTY M150 QLTY50,29.34,-2.63,32.13,14.36,-14.98
55,NIFTY INDIA MFG,32.06,0.0,36.3,17.53,-14.530000000000001
56,NIFTY IND DIGITAL,25.13,-8.07,42.83,14.44,-10.69
57,NIFTY100 ESG,19.83,-2.51,29.11,12.59,-7.239999999999998
58,NIFTY200 ALPHA 30,38.13,-7.24,42.47,19.28,-18.85
59,NIFTYM150MOMNTM50,33.19,0.0,45.53,22.67,-10.519999999999996
60,NIFTY TATA 25 CAP,28.79,-0.68,47.41,21.72,-7.07
61,NIFTY MULTI MFG,30.49,-0.06,34.55,18.89,-11.599999999999998
62,NIFTY MULTI INFRA,30.06,-0.61,33.56,19.04,-11.02
63,NIFTY MIDSML HLTH,30.26,-9.25,30.95,12.31,-17.950000000000003
