,symbol,percent_diff,min,max,avg,relative_diff,
21,NIFTY MEDIA,3.21,-11.76,36.44,8.1,4.89,
37,NIFTY PVT BANK,9.85,-2.25,35.96,12.4,2.55,
2,NIFTY BANK,11.13,-0.94,38.74,13.98,2.85,
7,NIFTY FIN SERVICE,13.28,-2.43,34,11.92,-1.36, 
18,NIFTY SERV SECTOR,16.64,-1.23,29.6,11.5,-5.14,
0,NIFTY 50,17.97,-0.57,25.4,11.9,-6.07,
13,NIFTY FMCG,18.15,-2.92,20.51,10.24,-7.91,
31,NIFTY100 LIQ 15,18.56,-1.1,29.25,14.32,-4.24,
44,NIFTY FINSRV25 50,19.34,-2.86,32.24,13,-6.34,
20,NIFTY METAL,20.16,-1.1,68.34,24.36,4.2,
3,NIFTY 100,20.16,-0.39,25.66,12.16,-8,
34,NIFTY GROWSECT 15,20.29,0,20.29,9.42,-10.87,
57,NIFTY100 ESG,21.21,-2.93,27.81,11.92,-9.29,
22,NIFTY 200,21.69,-0.32,27.02,13.19,-8.5,
8,NIFTY IT,22.05,-7.12,40.71,12.03,-10.02,
40,NIFTY100 LOWVOL30,22.1,-0.2,22.83,11.72,-10.38,
17,NIFTY PSU BANK,22.3,-5.95,52.25,26.65,4.35,
32,NIFTY 500,22.68,-0.23,28.02,13.99,-8.69,
50,NIFTY100ESGSECLDR,23.01,-0.9,24.02,12.06,-10.95,
41,NIFTY100 QUALTY30,23.09,-0.61,23.5,11.64,-11.45,
52,NIFTY TOTAL MKT,23.15,-0.2,28.41,14.31,-8.84,
38,NIFTY50 EQL WGT,23.15,0,23.93,13.23,-9.92,
30,NIFTY50 VALUE 20,23.58,-0.67,27.53,13.63,-9.95,
14,NIFTY MNC,23.78,0,28.9,11.41,-12.37,
5,NIFTY COMMODITIES,23.85,-0.36,36.57,17.25,-6.6,
23,NIFTY200 QUALTY30,24.65,-0.54,24.65,11.27,-13.38,
49,NIFTY LARGEMID250,24.89,-0.21,29.69,15.45,-9.44,
48,NIFTY500 MULTICAP,25.32,0,32.04,16.62,-8.7,
6,NIFTY CONSUMPTION,25.34,-0.11,25.34,12.22,-13.12,
39,NIFTY100 EQL WGT,26.6,-1.63,28.65,14.81,-11.79,
11,NIFTY INFRA,27.17,-2.91,34.15,15.55,-11.62,
46,NIFTY CONSR DURBL,27.33,-3.24,40.26,15.66,-11.67,
12,NIFTY ENERGY,27.51,-6.53,39.75,14.24,-13.27,
42,NIFTY ALPHALOWVOL,27.81,-1.52,29.81,13.79,-14.02,
54,NIFTY M150 QLTY50,28.57,-2.92,32.13,14.59,-13.98,
62,NIFTY MULTI INFRA,28.58,-0.23,33.72,18.92,-9.66,
4,NIFTY DIV OPPS 50,28.97,-1.48,30.31,14.55,-14.42,
43,NIFTY MID SELECT,29.03,-1.11,38.83,18.4,-10.63,
25,NIFTY MIDCAP 150,29.37,0,35.6,19.85,-9.52,
56,NIFTY IND DIGITAL,29.56,-8.05,41.43,13.81,-15.75,
45,NIFTY HEALTHCARE,29.78,-5.73,29.78,11.28,-18.5,
9,NIFTY MIDCAP 50,29.89,0,37.03,20.48,-9.41,
26,NIFTY MIDSML 400,29.93,0,37.05,20.48,-9.45,
1,NIFTY MIDCAP 100,30.24,0,36.86,20.16,-10.08,
61,NIFTY MULTI MFG,30.46,0,34.05,18.72,-11.74,
47,NIFTY OIL AND GAS,30.53,-8.12,37.91,14.18,-16.35,
15,NIFTY PHARMA,30.89,-7.34,30.89,10,-20.89,
28,NIFTY SMLCAP 100,30.91,-5.57,43.41,20.02,-10.89,
29,NIFTY SMLCAP 250,30.92,0,44.77,21.81,-9.11,
51,NIFTY200MOMENTM30,30.96,-4.14,36.43,17.12,-13.84,
55,NIFTY INDIA MFG,31.12,0,36.46,17.15,-13.97,
36,NIFTY NEXT 50,32.2,-5.08,36.86,14.28,-17.92,
35,NIFTY MID LIQ 15,32.84,0,38.74,20.16,-12.68,
27,NIFTY SMLCAP 50,33.17,-9.83,45.62,19.37,-13.8,
63,NIFTY MIDSML HLTH,33.23,-9.32,33.23,11.73,-21.5,
59,NIFTYM150MOMNTM50,33.24,0,44.56,22.82,-10.42,
10,NIFTY REALTY,33.62,-5.26,59.51,25.8,-7.82,
60,NIFTY TATA 25 CAP,33.69,0,46.63,21.77,-11.92,
19,NIFTY AUTO,34.06,-0.26,41.07,18.01,-16.05,
24,NIFTY ALPHA 50,36.01,-9.14,43.87,20.43,-15.58,
53,NIFTY MICROCAP250,37.31,0,62.73,28.81,-8.5,
58,NIFTY200 ALPHA 30,37.68,-7.18,42.35,19.04,-18.64,
16,NIFTY PSE,42.73,-10.05,58.9,21.22,-21.51,
33,NIFTY CPSE,45.01,-7.35,57.75,23.62,-21.39,
