,symbol,percent_diff,min,max,avg,relative_diff
0,NIFTY 50,-1.08,-50.72,14.0,0.02,1.1
1,NIFTY NEXT 50,-4.03,-60.77,14.98,0.11,4.140000000000001
2,NIFTY 100,-1.45,-52.15,14.04,0.03,1.48
3,NIFTY 200,-1.94,-54.72,14.41,0.05,1.99
4,NIFTY 500,-2.31,-56.7,14.53,0.06,2.37
5,NIFTY MIDCAP 50,-4.76,-68.21,21.15,0.13,4.89
6,NIFTY MIDCAP 100,-5.13,-67.91,17.73,0.14,5.27
7,NIFTY MIDCAP 150,-5.01,-69.07,17.03,0.14,5.1499999999999995
8,NIFTY BANK,0.65,-41.96,23.71,-0.03,-0.68
9,NIFTY AUTO,1.3,-65.69,20.37,-0.07,-1.37
10,NIFTY FMCG,-3.28,-49.83,11.38,0.1,3.38
11,NIFTY IT,-2.98,-60.88,24.31,0.08,3.06
12,NIFTY MEDIA,-4.3,-39.63,26.62,0.13,4.43
13,NIFTY METAL,0.25,-67.79,38.93,-0.04,-0.29
14,NIFTY PHARMA,-4.54,-61.16,21.48,0.13,4.67
15,NIFTY PSU BANK,1.75,-50.76,42.29,-0.08,-1.83
16,NIFTY REALTY,-7.1,-71.63,32.8,0.2,7.3
17,NIFTY50 VALUE 20,-1.26,-59.58,16.65,0.02,1.28
18,NIFTY ALPHA 50,-3.96,-78.29,17.46,0.09,4.05
19,NIFTY COMMODITIES,-0.43,-58.6,17.57,-0.01,0.42
20,NIFTY CPSE,1.05,-65.25,25.97,-0.06,-1.11
21,NIFTY ENERGY,2.32,-59.19,22.29,-0.09,-2.4099999999999997
22,NIFTY MNC,-1.76,-55.51,13.45,0.04,1.8
23,NIFTY PSE,-1.41,-65.16,26.8,0.02,1.43
